"Timestamp","For this first section (which is optional but highly appreciated), We would like to ask you to test your internet speed at https://www.speed.io/ (Just click on the link, press the Start Test button and wait for ~30 seconds and you'll get the results as you can see in the picture) and write below the following:                                                                                          1)  Whether you're using your Home WiFi or Mobile Data 2) Your Download Speed                                                            3) Your Upload Speed","Does a day go by without you using the Internet? (Excluding WhatsApp)","If not, was this also the case before the pandemic?","Approximately, how much time do you spend *actively* using the Internet daily? (Including Online classes, Social Media, YouTube, Online gaming...)","By how much do you estimate this time to have increased since the beginning of the pandemic?","From what devices do you access the Internet?","Quantitatively speaking (in GigaBytes), from the start of the pandemic till now, would you say your internet consumption has (Home Internet and Mobile Data)","During the past 2 years, have you changed (in terms of capacity and speed) any of your Internet subscription plans? (Home or Mobile)","If you upgraded any of your plans (or subscribed to a new one), what were you looking for?","Do you have fiber optic connection at home? (Fiber to the home)","In broad terms, how would you describe the quality of your Internet connection now, compared to how it was 2 years ago? (Download/Upload speed, Ping...)","From a connection point of view, how would you describe your experience with e-learning in Lebanon?"
"2021/04/04 3:18:26 PM GMT+3","1) Home 2) 3.8 Mbps 3) 0.8 Mbps","No","Yes","from 6 to 10 hours","3 to 4 hours","Mobile Phone;PC (Desktop)","Drastically increased (More than 2 fold)","No, nothing has changed","Not Applicable","No","Slight improvement","Great, barely had trouble"
"2021/04/04 3:23:33 PM GMT+3","1)home wifi
2)download speed :3.2mbps
3)upload speed: 0.9mbps","No","Yes","from 6 to 10 hours","3 to 4 hours","Mobile Phone;Laptop;Gaming Console","Drastically increased (More than 2 fold)","Yes I upgraded my plans (or subscribed to a new plan)","An increase in Capacity (For example from a quota of 80 GB/month to 150 GB/month or even to an unlimited quota)","No","Slight improvement","Average, encounter sporadic connection problems"
"2021/04/04 3:31:31 PM GMT+3","1) Home wifi
2) 2.8 mbps
3) 0.3 mbps","No","Yes","from 6 to 10 hours","3 to 4 hours","Mobile Phone;Laptop","Drastically increased (More than 2 fold)","Yes I upgraded my plans (or subscribed to a new plan)","Both","No","Slight improvement","Awful, Internet quality has impeded my academic progress"
"2021/04/04 3:37:48 PM GMT+3","","No","Yes","More than 10 hours","5 to 6 hours","Mobile Phone;Laptop;Tablet;Gaming Console","Slightly increased","Yes I upgraded my plans (or subscribed to a new plan)","An increase in Speed (For example from 2 Mbps to 4 Mbps or even Open Speed plan)","No","Drastic deterioration","Average, encounter sporadic connection problems"
"2021/04/04 3:46:07 PM GMT+3","1)Home 2)3.8Mbps 3)1.1Mbps","No","Yes","from 6 to 10 hours","5 to 6 hours","Mobile Phone;Laptop;Tablet","Drastically increased (More than 2 fold)","Yes I upgraded my plans (or subscribed to a new plan)","An increase in Capacity (For example from a quota of 80 GB/month to 150 GB/month or even to an unlimited quota)","No","Hasn't really changed","Average, encounter sporadic connection problems"
"2021/04/04 3:51:50 PM GMT+3","Home wifi, Download: 1.8 Mbps - Upload: 1.1 Mbps","No","Yes","from 6 to 10 hours","5 to 6 hours","Mobile Phone;Laptop","Slightly increased","Yes I upgraded my plans (or subscribed to a new plan)","An increase in Capacity (For example from a quota of 80 GB/month to 150 GB/month or even to an unlimited quota)","I'm not sure","Slight improvement","Average, encounter sporadic connection problems"
"2021/04/04 4:09:55 PM GMT+3","1) Home WiFi 3) 3.9 Mbps 4) 0.8Mbps","No","Yes","More than 10 hours","An hour or 2","Mobile Phone;Laptop;PC (Desktop)","Drastically increased (More than 2 fold)","Yes I upgraded my plans (or subscribed to a new plan)","An increase in Speed (For example from 2 Mbps to 4 Mbps or even Open Speed plan)","No","I'm not sure","Average, encounter sporadic connection problems"
"2021/04/04 4:19:38 PM GMT+3","Home Wifi, Download 29.1Mbps, Upload 37.6Mbps","No","Yes","from 6 to 10 hours","3 to 4 hours","Mobile Phone;Laptop;Gaming Console","Slightly increased","No, nothing has changed","Not Applicable","No","Slight improvement","Average, encounter sporadic connection problems"
"2021/04/04 4:21:56 PM GMT+3","1) Wifi              2) 12.3           3) 8.7","No","No","More than 10 hours","5 to 6 hours","Mobile Phone;Laptop;Tablet","Drastically increased (More than 2 fold)","Yes I upgraded my plans (or subscribed to a new plan)","Both","No","Drastic improvement","Great, barely had trouble"
"2021/04/04 4:22:57 PM GMT+3","1) wifi
2) 4.4Mbps
3) 0.8Mbps","No","Yes","More than 10 hours","3 to 4 hours","Mobile Phone;Laptop;Gaming Console","Slightly increased","Yes I upgraded my plans (or subscribed to a new plan)","An increase in Capacity (For example from a quota of 80 GB/month to 150 GB/month or even to an unlimited quota)","No","Slight improvement","Average, encounter sporadic connection problems"
