DL	UL
3.8	0.8
3.2	0.9
2.8	0.3
3.8	1.1
1.8	1.1
3.9	0.8
12.3	8.7
4.4	0.8
2.9	0.8
5.4	5.46
3.7	1
7.5	0.6
2.2	1.9
28.3	16.1
12.1	0.71
35.4	22.9
5.1	0.8
1.9	0.6
12	0.9
4.9	0.8
3.6	0.8
13	1
3.4	0.8
0.8	0.2
3.2	0.8
2.8	0.8
3.7	0.8
4.7	0.8
1.6	0.8
3.8	0.4
3	5.46
1.9	0.5
4.7	5.46
9.2	0.7
5.5	0.7
5.1	0.8
5.2	0.75
3.4	0.7
0.7	0.5
2	0.8
1.6	1
0.5	0.5
4.3	0.7
3.4	0.7
3.8	0.9
0.37	0.08
17	0.9
5.1	0.7
2.3	0.7
4	0.7
3.3	0.5
6.9	1.1
3.3	0.5
2.4	0.4
12.4	4.1
29.1	37.6
7	7.8
0.7	10.6
30.8	35.9
6	7
10.9	0.04
31.7	4.8
3.5	4
8.6	9.6
3.4	6.4
54	16
3.4	5.3
3	3.2
16	20
3.3	24.4
1.9	4.5
8.6	9.6
0.7	1.7
74.4	81.4
14.1	19.6
1.3	1.6
